character,Admiral Croft,Anna Weston,Anne Elliot,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Knightley,John Thorpe,John Willoughby,Julia Bertram,Kitty Bennet,Lady Bertram,Lady Catherine de Bourgh,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Musgrove,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Musgrove,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Rushworth,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,Tom Bertram,William Collins,William Elliot,William Price
Elizabeth Bennet,0.926949,0.979117,0.983545,0.958881,0.944013,0.960434,0.977899,0.987061,0.990757,0.993081,0.956338,0.982678,0.932857,0.957491,0.948377,0.984741,0.965861,0.977351,0.982592,1.0,0.958388,0.982661,0.913071,0.989886,0.995279,0.9718,0.948118,0.962039,0.98334,0.990539,0.929293,0.971963,0.89522,0.983744,0.980718,0.895586,0.985998,0.96471,0.990995,0.974391,0.953993,0.954355,0.959619,0.972872,0.971498,0.958811,0.947712,0.96861,0.916051,0.950188,0.938278,0.972189,0.974893,0.886223,0.965249,0.975697,0.809289,0.985673,0.96469,0.962581,0.903388,0.968218,0.97972,0.913094,0.822827,0.961337,0.981162,0.929384,0.971938,0.9742,0.937793,0.968919,0.909921,0.990109,0.922057,0.963147,0.96877,0.935869,0.983444,0.977027,0.853056,0.977954,0.948714,0.964305,0.98348,0.768475,0.922495,0.746785,0.963959,0.922706,0.968962,0.892364,0.903331,0.971925,0.983466,0.932555,0.93051,0.665827,0.969834,0.940036,0.985819,0.96519,0.96859
Elizabeth Elliot,0.91471,0.956589,0.970089,0.941625,0.928333,0.944779,0.960746,0.954274,0.95897,0.95133,0.938237,0.950942,0.911448,0.93266,0.902503,0.954038,0.9412,0.943824,0.957335,0.958388,1.0,0.962629,0.888682,0.960433,0.958097,0.954069,0.919378,0.928863,0.961415,0.949706,0.898426,0.951193,0.888913,0.957588,0.948162,0.888149,0.954135,0.935865,0.947981,0.956475,0.931253,0.932062,0.928291,0.947222,0.939785,0.917149,0.921733,0.936868,0.888534,0.941594,0.921022,0.947467,0.936465,0.859622,0.933084,0.948563,0.775775,0.952753,0.951597,0.946765,0.868426,0.9238,0.939042,0.882336,0.7891,0.945258,0.948975,0.930253,0.952706,0.960486,0.909785,0.938531,0.886889,0.95349,0.920938,0.940952,0.939961,0.915765,0.942281,0.943543,0.824089,0.955102,0.924371,0.94519,0.954718,0.754894,0.89212,0.721319,0.947691,0.897432,0.95282,0.865061,0.890912,0.94488,0.955755,0.923013,0.896083,0.683034,0.950038,0.91496,0.956409,0.95202,0.943011
Emma Woodhouse,0.953325,0.99243,0.987948,0.986037,0.95171,0.975987,0.979618,0.976675,0.983904,0.976339,0.959775,0.973613,0.947897,0.977255,0.921349,0.97821,0.982385,0.975479,0.99007,0.982661,0.962629,1.0,0.908412,0.983213,0.981573,0.992359,0.943799,0.964825,0.997662,0.978407,0.912917,0.993784,0.909498,0.978406,0.977772,0.910671,0.977209,0.963844,0.973771,0.992922,0.951016,0.971122,0.952273,0.985232,0.967216,0.939498,0.944365,0.966059,0.915218,0.950331,0.960683,0.982775,0.961736,0.896767,0.954161,0.986009,0.808295,0.978046,0.967323,0.983098,0.903305,0.950389,0.960671,0.908666,0.820284,0.965437,0.972107,0.939961,0.987652,0.989382,0.928889,0.970071,0.928178,0.971947,0.925865,0.965346,0.969857,0.959626,0.970723,0.970564,0.853394,0.988054,0.945351,0.963998,0.9773,0.776825,0.913626,0.752258,0.980067,0.923212,0.985956,0.912783,0.92145,0.979451,0.974044,0.949533,0.919821,0.65466,0.982832,0.932642,0.970696,0.976347,0.95998
Fanny Dashwood,0.837935,0.896587,0.906404,0.880925,0.877287,0.882502,0.899715,0.902865,0.9087,0.907018,0.872993,0.899619,0.873044,0.886182,0.866449,0.909255,0.902357,0.896308,0.918845,0.913071,0.888682,0.908412,1.0,0.913615,0.907597,0.898135,0.871739,0.875054,0.905953,0.891721,0.861124,0.894468,0.842006,0.893104,0.903429,0.839862,0.905244,0.8793,0.911007,0.895101,0.889556,0.870541,0.882472,0.912738,0.896295,0.881459,0.879495,0.883964,0.882808,0.888227,0.859536,0.919196,0.903966,0.866288,0.885926,0.902274,0.73238,0.895744,0.895692,0.894889,0.796161,0.877328,0.899142,0.836027,0.772852,0.884128,0.892356,0.842445,0.895282,0.901974,0.846635,0.891177,0.837746,0.908111,0.837742,0.878291,0.917825,0.883776,0.898611,0.891226,0.782168,0.918546,0.877364,0.886137,0.901559,0.748881,0.863457,0.656733,0.87854,0.850332,0.909623,0.85971,0.843887,0.891617,0.901663,0.837947,0.839541,0.628539,0.896422,0.873719,0.908424,0.890765,0.894383
Fanny Price,0.931861,0.982094,0.984482,0.962076,0.947232,0.96098,0.981348,0.980253,0.994012,0.984934,0.957526,0.976535,0.939162,0.958341,0.934961,0.993774,0.96752,0.980099,0.983133,0.989886,0.960433,0.983213,0.913615,1.0,0.986225,0.97375,0.950407,0.966656,0.983603,0.981581,0.924844,0.972217,0.896801,0.990497,0.98296,0.89914,0.987617,0.966942,0.978437,0.975231,0.956875,0.956456,0.960645,0.971802,0.979772,0.953461,0.964939,0.971754,0.917235,0.948012,0.941296,0.972466,0.973169,0.891766,0.973609,0.975585,0.810756,0.992375,0.966085,0.962587,0.903921,0.953876,0.968883,0.906066,0.828411,0.963881,0.985725,0.933234,0.973485,0.975944,0.948879,0.973711,0.910933,0.983014,0.924955,0.96263,0.964263,0.938581,0.972756,0.979062,0.854237,0.980121,0.948859,0.966864,0.993261,0.770058,0.937978,0.752626,0.965797,0.923248,0.970617,0.892718,0.901615,0.974705,0.99235,0.932362,0.926988,0.679862,0.97152,0.949562,0.976917,0.965223,0.979666
Fitzwilliam Darcy,0.929407,0.97699,0.981524,0.960254,0.942644,0.960562,0.974713,0.988353,0.987012,0.989199,0.950245,0.981501,0.927426,0.956914,0.941303,0.982416,0.965633,0.973773,0.980853,0.995279,0.958097,0.981573,0.907597,0.986225,1.0,0.972368,0.946429,0.960512,0.982839,0.98847,0.924335,0.972593,0.893906,0.982784,0.978437,0.896934,0.98303,0.96082,0.986154,0.97461,0.949112,0.955802,0.95474,0.971493,0.968118,0.948165,0.944017,0.964598,0.906717,0.948886,0.938376,0.97201,0.966253,0.884939,0.963873,0.97598,0.82135,0.983581,0.960926,0.96254,0.89963,0.959354,0.971505,0.912499,0.804801,0.956797,0.979734,0.929945,0.968605,0.97376,0.93589,0.967537,0.908136,0.985439,0.926155,0.963154,0.964563,0.937053,0.977741,0.974541,0.854662,0.974524,0.95012,0.96082,0.979947,0.764231,0.914741,0.74845,0.965228,0.920953,0.968692,0.893221,0.90047,0.968593,0.978888,0.936049,0.932965,0.663238,0.966929,0.938499,0.985053,0.962239,0.965402
Frank Churchill,0.945227,0.984315,0.978269,0.97966,0.940249,0.965893,0.970614,0.967644,0.973622,0.966408,0.945918,0.965399,0.942096,0.967637,0.911049,0.97031,0.973553,0.963236,0.980854,0.9718,0.954069,0.992359,0.898135,0.97375,0.972368,1.0,0.932397,0.956238,0.988984,0.969654,0.906589,0.985948,0.907662,0.967784,0.967776,0.910914,0.966064,0.958067,0.964324,0.98679,0.940276,0.962036,0.939975,0.976249,0.959841,0.93047,0.935333,0.95587,0.90744,0.946681,0.953768,0.97467,0.951177,0.888103,0.944112,0.975079,0.803522,0.969133,0.956399,0.980752,0.893144,0.939552,0.947633,0.896915,0.805952,0.959551,0.96417,0.931612,0.980181,0.984307,0.923347,0.959481,0.925611,0.962465,0.914978,0.95344,0.955402,0.95143,0.962131,0.959726,0.842298,0.977321,0.934338,0.950141,0.968015,0.77981,0.901998,0.743969,0.968934,0.910481,0.981881,0.903497,0.921789,0.969761,0.966284,0.945688,0.908474,0.644853,0.973104,0.923319,0.95948,0.969081,0.950162
Frederick Tilney,0.894771,0.939303,0.94609,0.920217,0.91274,0.930819,0.938585,0.937346,0.953842,0.94395,0.935831,0.929926,0.899987,0.926883,0.895936,0.950841,0.933524,0.940672,0.947398,0.948118,0.919378,0.943799,0.871739,0.950407,0.946429,0.932397,1.0,0.924579,0.94651,0.943361,0.871706,0.936538,0.873319,0.945239,0.951142,0.857338,0.955354,0.929114,0.94086,0.932321,0.918507,0.911252,0.931579,0.937352,0.931958,0.909996,0.916041,0.927377,0.867158,0.906576,0.90162,0.939597,0.928442,0.863514,0.921385,0.942912,0.785833,0.945488,0.927493,0.924141,0.864994,0.923403,0.926143,0.861947,0.79652,0.916526,0.9376,0.894304,0.935251,0.935495,0.895663,0.9286,0.878053,0.934066,0.88823,0.929016,0.930046,0.915198,0.927538,0.940202,0.809501,0.937564,0.926792,0.919381,0.941193,0.741654,0.882151,0.749296,0.930969,0.893842,0.926207,0.868746,0.867666,0.929569,0.944571,0.891999,0.880959,0.660415,0.930853,0.913399,0.932924,0.924152,0.939378
General Tilney,0.952479,0.96933,0.962793,0.964462,0.937667,0.95687,0.956979,0.961603,0.971428,0.95933,0.94588,0.962533,0.935363,0.964108,0.900203,0.959542,0.966086,0.977747,0.967531,0.962039,0.928863,0.964825,0.875054,0.966656,0.960512,0.956238,0.924579,1.0,0.964304,0.966858,0.888778,0.964124,0.86791,0.959579,0.965154,0.88008,0.959899,0.960739,0.943453,0.958369,0.932358,0.958381,0.938754,0.961887,0.952166,0.920172,0.927974,0.958168,0.899487,0.918014,0.950995,0.960411,0.949507,0.892487,0.935372,0.971255,0.797835,0.967694,0.942845,0.950859,0.921763,0.934925,0.938335,0.901907,0.826465,0.937819,0.952349,0.910888,0.954792,0.959163,0.917996,0.976126,0.902309,0.950306,0.900764,0.952694,0.937651,0.936655,0.952245,0.951155,0.871357,0.96491,0.917141,0.947818,0.966398,0.761908,0.90614,0.763917,0.965765,0.933814,0.94908,0.916552,0.863293,0.971126,0.952746,0.942067,0.902819,0.592403,0.963983,0.90822,0.945412,0.949994,0.935085
George Knightley,0.953435,0.992117,0.987406,0.982886,0.951667,0.974806,0.979629,0.976744,0.984323,0.977203,0.961325,0.973452,0.944614,0.975525,0.922916,0.978865,0.98043,0.975333,0.98923,0.98334,0.961415,0.997662,0.905953,0.983603,0.982839,0.988984,0.94651,0.964304,1.0,0.979864,0.910351,0.992537,0.906389,0.979632,0.979168,0.905756,0.978498,0.962933,0.973975,0.990151,0.950775,0.970952,0.953188,0.983213,0.967791,0.938701,0.943774,0.965276,0.910036,0.947521,0.958489,0.9816,0.961208,0.897435,0.954687,0.986254,0.81133,0.979113,0.966425,0.978182,0.904032,0.949083,0.961799,0.909614,0.821537,0.963623,0.973202,0.939182,0.985839,0.987308,0.930982,0.969951,0.925603,0.972746,0.927324,0.967088,0.968437,0.957282,0.970276,0.972265,0.855812,0.986096,0.945686,0.965501,0.977168,0.770931,0.912823,0.75763,0.979755,0.922199,0.982881,0.911395,0.920177,0.979447,0.973785,0.947482,0.921501,0.650702,0.981896,0.93364,0.970017,0.973382,0.96133
George Wickham,0.938355,0.977141,0.978562,0.961766,0.940039,0.963074,0.972265,0.977384,0.983433,0.983502,0.95536,0.976304,0.928856,0.96374,0.940152,0.976827,0.967135,0.977228,0.979348,0.990539,0.949706,0.978407,0.891721,0.981581,0.98847,0.969654,0.943361,0.966858,0.979864,1.0,0.917323,0.97288,0.887073,0.977822,0.978719,0.892824,0.976614,0.965361,0.978798,0.970937,0.947561,0.961013,0.951947,0.971857,0.964101,0.945339,0.94122,0.965237,0.90536,0.939796,0.946706,0.969569,0.963372,0.881863,0.953419,0.977751,0.813429,0.980865,0.9549,0.957563,0.910678,0.956955,0.972365,0.905588,0.818455,0.951622,0.974006,0.930148,0.968529,0.970056,0.931722,0.966373,0.907914,0.977818,0.917485,0.960219,0.95736,0.93877,0.977652,0.968678,0.865387,0.972886,0.936934,0.957825,0.975551,0.760771,0.907536,0.755096,0.967088,0.919687,0.95732,0.892426,0.892259,0.973595,0.974005,0.941049,0.921439,0.632339,0.970884,0.923695,0.971112,0.961901,0.95614
Georgiana Darcy,0.840483,0.911148,0.914597,0.893976,0.870083,0.880886,0.910341,0.910137,0.91922,0.919575,0.872025,0.923121,0.868107,0.886263,0.876921,0.915803,0.895046,0.907172,0.915608,0.929293,0.898426,0.912917,0.861124,0.924844,0.924335,0.906589,0.871706,0.888778,0.910351,0.917323,1.0,0.897839,0.829945,0.913055,0.911394,0.83513,0.90896,0.890482,0.917859,0.909863,0.898879,0.883117,0.881092,0.903158,0.908063,0.904662,0.879405,0.898026,0.867565,0.894055,0.870198,0.910285,0.906782,0.821089,0.906877,0.90156,0.729609,0.917234,0.896961,0.895105,0.832045,0.891079,0.910035,0.838542,0.756991,0.901942,0.907792,0.863647,0.906788,0.908001,0.87557,0.898954,0.84496,0.926489,0.842042,0.897417,0.907356,0.86586,0.911665,0.899598,0.780208,0.91411,0.877244,0.900162,0.917041,0.716219,0.860459,0.671689,0.892137,0.838404,0.902936,0.820995,0.820952,0.891814,0.919382,0.852455,0.847463,0.627469,0.909607,0.87038,0.932937,0.895984,0.895343
Harriet Smith,0.962863,0.988219,0.980418,0.988314,0.950577,0.97948,0.971264,0.967825,0.974002,0.966299,0.956581,0.965428,0.947611,0.983702,0.906743,0.9675,0.985003,0.971651,0.986303,0.971963,0.951193,0.993784,0.894468,0.972217,0.972593,0.985948,0.936538,0.964124,0.992537,0.97288,0.897839,1.0,0.905654,0.967802,0.972686,0.898503,0.966525,0.960184,0.961807,0.986775,0.941513,0.972993,0.942787,0.985981,0.958193,0.923323,0.934338,0.959806,0.905059,0.938993,0.967733,0.981891,0.953379,0.901257,0.940986,0.987051,0.806659,0.968247,0.95771,0.977853,0.901916,0.938909,0.950187,0.906648,0.814248,0.951467,0.959556,0.931811,0.978371,0.983063,0.917318,0.968986,0.926735,0.958568,0.916604,0.959751,0.960311,0.96589,0.96152,0.961302,0.861138,0.98358,0.936287,0.956488,0.96641,0.774146,0.899282,0.758905,0.981942,0.922155,0.980484,0.922806,0.904152,0.977761,0.959317,0.950407,0.907458,0.622095,0.98125,0.917245,0.957596,0.970506,0.946081
Henrietta Musgrove,0.869464,0.901041,0.916432,0.8889,0.887932,0.908469,0.916364,0.888348,0.892284,0.888242,0.892922,0.880449,0.879886,0.894478,0.839978,0.899104,0.901127,0.881956,0.905319,0.89522,0.888913,0.909498,0.842006,0.896801,0.893906,0.907662,0.873319,0.86791,0.906389,0.887073,0.829945,0.905654,1.0,0.884207,0.892247,0.839475,0.888698,0.878153,0.897517,0.902108,0.876085,0.870712,0.872963,0.903854,0.883915,0.855599,0.865002,0.869813,0.856616,0.906409,0.883257,0.902172,0.883126,0.836909,0.862771,0.896905,0.735178,0.889423,0.901674,0.900318,0.801583,0.871813,0.882807,0.82216,0.760513,0.877608,0.887472,0.886638,0.900336,0.902183,0.85111,0.869417,0.856098,0.883639,0.857616,0.873143,0.883934,0.883057,0.890062,0.882643,0.751384,0.899524,0.874589,0.892249,0.894397,0.758057,0.842766,0.699458,0.897601,0.830742,0.909433,0.843193,0.86748,0.888324,0.894257,0.8782,0.822489,0.644814,0.885873,0.859801,0.887546,0.911755,0.885062
Henry Crawford,0.932164,0.97701,0.978584,0.959521,0.936575,0.959337,0.974215,0.976322,0.987901,0.978552,0.952407,0.97255,0.927668,0.953936,0.929203,0.984942,0.961356,0.973492,0.976957,0.983744,0.957588,0.978406,0.893104,0.990497,0.982784,0.967784,0.945239,0.959579,0.979632,0.977822,0.913055,0.967802,0.884207,1.0,0.975329,0.890796,0.983281,0.960068,0.970043,0.971993,0.946262,0.954003,0.951989,0.965083,0.97116,0.94328,0.954697,0.963612,0.898644,0.939107,0.935695,0.965622,0.96217,0.880593,0.968915,0.971317,0.805567,0.988262,0.957543,0.954816,0.900467,0.94572,0.958703,0.90353,0.811734,0.957346,0.981156,0.933551,0.968056,0.969321,0.947335,0.968062,0.898912,0.976131,0.931141,0.960767,0.956685,0.935483,0.965871,0.974978,0.84345,0.973218,0.941296,0.961494,0.984322,0.759137,0.923223,0.751961,0.962619,0.919301,0.962119,0.886027,0.894154,0.96999,0.985577,0.934848,0.933643,0.67234,0.96724,0.945598,0.972463,0.957121,0.974694
Henry Tilney,0.93853,0.976187,0.977268,0.960474,0.942442,0.963413,0.973433,0.970189,0.987954,0.975577,0.954722,0.967615,0.938863,0.965492,0.92937,0.979703,0.968909,0.981836,0.979372,0.980718,0.948162,0.977772,0.903429,0.98296,0.978437,0.967776,0.951142,0.965154,0.979168,0.978719,0.911394,0.972686,0.892247,0.975329,1.0,0.891867,0.983173,0.966841,0.968737,0.967474,0.942966,0.957055,0.958736,0.972727,0.96986,0.939534,0.945053,0.964703,0.910848,0.936184,0.952615,0.972693,0.959989,0.903064,0.956366,0.977704,0.808319,0.978974,0.955739,0.954828,0.903136,0.941433,0.963816,0.89897,0.842957,0.951604,0.97063,0.922142,0.965457,0.965691,0.935283,0.973544,0.906425,0.966925,0.906411,0.95935,0.955863,0.939863,0.964384,0.963175,0.877974,0.974407,0.943232,0.958231,0.973733,0.775832,0.916151,0.759271,0.964486,0.920162,0.959752,0.902976,0.889071,0.973037,0.970669,0.929538,0.913849,0.618581,0.969923,0.92696,0.959993,0.963014,0.952508
Isabella Knightley,0.862511,0.897533,0.901862,0.89595,0.862729,0.879674,0.899691,0.898217,0.900034,0.894314,0.866586,0.892186,0.863219,0.878048,0.822167,0.894089,0.890057,0.884851,0.900861,0.895586,0.888149,0.910671,0.839862,0.89914,0.896934,0.910914,0.857338,0.88008,0.905756,0.892824,0.83513,0.898503,0.839475,0.890796,0.891867,1.0,0.892536,0.876213,0.892079,0.909754,0.87703,0.895091,0.866099,0.895928,0.883885,0.85065,0.862475,0.877785,0.842108,0.875115,0.864899,0.894172,0.882257,0.818079,0.872789,0.893477,0.751611,0.896181,0.887383,0.902823,0.818946,0.867433,0.871382,0.83246,0.736884,0.887963,0.895069,0.859362,0.900896,0.906982,0.859337,0.880171,0.842315,0.894459,0.857413,0.879771,0.872655,0.867704,0.891642,0.887249,0.766778,0.902468,0.869771,0.885101,0.897304,0.719263,0.845889,0.661864,0.885558,0.849145,0.906708,0.819276,0.859548,0.895378,0.89038,0.875549,0.839506,0.620971,0.8954,0.865277,0.891333,0.889001,0.883677
Isabella Thorpe,0.927117,0.974651,0.977988,0.954731,0.941593,0.957979,0.973007,0.978166,0.99372,0.983729,0.955207,0.96993,0.929691,0.952212,0.934441,0.981506,0.960954,0.97571,0.97658,0.985998,0.954135,0.977209,0.905244,0.987617,0.98303,0.966064,0.955354,0.959899,0.978498,0.976614,0.90896,0.966525,0.888698,0.983281,0.983173,0.892536,1.0,0.964871,0.974974,0.967713,0.942336,0.949692,0.962704,0.966372,0.967549,0.947881,0.947839,0.963628,0.903367,0.9372,0.935391,0.965818,0.968824,0.886849,0.964694,0.970787,0.806231,0.984074,0.960379,0.955192,0.899292,0.953713,0.963497,0.905327,0.827116,0.955885,0.978012,0.92152,0.966538,0.968172,0.93662,0.970117,0.901017,0.977959,0.924039,0.955527,0.957876,0.932467,0.967243,0.973281,0.850441,0.971955,0.954404,0.958824,0.980607,0.766068,0.926974,0.745142,0.957873,0.923831,0.963157,0.889235,0.898782,0.971156,0.97867,0.926747,0.931339,0.665664,0.964354,0.940176,0.971518,0.956249,0.970515
James Morland,0.935507,0.967855,0.964521,0.952942,0.93378,0.952525,0.95845,0.957738,0.97254,0.960555,0.949769,0.954666,0.926613,0.955146,0.920168,0.964058,0.956779,0.968998,0.96484,0.96471,0.935865,0.963844,0.8793,0.966942,0.96082,0.958067,0.929114,0.960739,0.962933,0.965361,0.890482,0.960184,0.878153,0.960068,0.966841,0.876213,0.964871,1.0,0.949238,0.956838,0.932952,0.942747,0.949611,0.958257,0.955594,0.92934,0.923642,0.959192,0.897675,0.920271,0.943266,0.95514,0.949782,0.88336,0.942742,0.965633,0.794705,0.96585,0.948026,0.950015,0.905214,0.941121,0.946169,0.891071,0.826688,0.944406,0.958805,0.915279,0.954454,0.957467,0.920873,0.967424,0.898964,0.953922,0.900041,0.950283,0.934122,0.923529,0.951035,0.9487,0.862132,0.959365,0.925876,0.947584,0.963636,0.77239,0.904922,0.761368,0.957522,0.9184,0.946955,0.897902,0.878995,0.965764,0.955582,0.93173,0.905119,0.607129,0.957746,0.909681,0.944298,0.947866,0.934744
Jane Bennet,0.905223,0.966739,0.972633,0.945537,0.93077,0.949285,0.96743,0.975734,0.977847,0.985997,0.940781,0.971228,0.918518,0.942707,0.934915,0.975319,0.953857,0.959609,0.973654,0.990995,0.947981,0.973771,0.911007,0.978437,0.986154,0.964324,0.94086,0.943453,0.973975,0.978798,0.917859,0.961807,0.897517,0.970043,0.968737,0.892079,0.974974,0.949238,1.0,0.965316,0.946273,0.937761,0.945634,0.964254,0.95746,0.946093,0.937223,0.953543,0.908687,0.94453,0.921861,0.96352,0.967149,0.874138,0.953288,0.963652,0.808377,0.971505,0.953336,0.957731,0.883458,0.961683,0.970312,0.906186,0.805989,0.949959,0.971951,0.918956,0.959206,0.966268,0.920757,0.952353,0.899238,0.982576,0.911238,0.951355,0.96349,0.927307,0.981038,0.971715,0.829366,0.967033,0.946775,0.952039,0.971911,0.765136,0.909784,0.72635,0.950017,0.906288,0.962139,0.87868,0.900844,0.955326,0.973067,0.917253,0.916622,0.676231,0.956486,0.931691,0.979396,0.95414,0.962183
